# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
52729.60881302468  0.01002893519  2.28176e+00  3.01105e+00  0.07678
52729.80750515431  0.01016782407  -1.42617e-02  1.77129e+00  0.18374
52729.82981996912  0.01028356481  2.80329e+00  1.48466e+00  0.24638
52729.85183964505  0.01011574074  1.30710e+00  1.33998e+00  0.29837
52729.87326904319  0.00921875000  -6.77448e-01  1.33350e+00  0.35032
52729.89566487653  0.00928819444  -8.68036e-01  1.34007e+00  0.34272
52729.91801441357  0.00928819444  3.32545e+00  1.40927e+00  0.31876
52729.94035237653  0.00928819444  -1.02679e+00  1.49093e+00  0.28082
52729.96359311727  0.01017939815  -3.67523e+00  1.64675e+00  0.21432
52729.98567066356  0.01006944444  4.65711e+00  2.16007e+00  0.13608
52730.00715793209  0.00920717593  -3.99681e+00  2.83765e+00  0.08177
52730.02958848764  0.00928819444  2.92959e+00  4.21270e+00  0.03475
52730.14131302467  0.00924189815  6.18856e+00  4.48762e+00  0.03289
52730.16367413579  0.00921875000  1.65657e+00  3.50667e+00  0.07928
52730.18695538579  0.01015046296  2.69329e+00  3.95538e+00  0.10117
52730.20904450615  0.01006365741  -4.62494e+00  2.46218e+00  0.19809
52730.23124936727  0.01008101852  -5.50919e-01  1.77197e+00  0.30092
52730.25278293208  0.00926504630  -7.03503e-01  1.55718e+00  0.33720
52730.27512089504  0.00927662037  -1.07681e+00  1.34519e+00  0.37354
52730.29747043208  0.00928819444  2.59521e+00  1.43516e+00  0.34147
52730.32067645060  0.01017939815  1.35698e-01  1.29721e+00  0.34214
52730.34276557097  0.01008101852  -4.24620e-01  1.33754e+00  0.29364
52730.36428756172  0.00928819444  1.95830e+00  1.55298e+00  0.23844
52730.38657922838  0.00928819444  1.49903e-01  2.18066e+00  0.15851
52730.40977367282  0.01019097222  4.02847e+00  2.78128e+00  0.07372
52730.43696695986  0.01509259259  -3.14025e-01  4.64434e+00  0.01953
52730.50865677468  0.01019675926  5.81027e+00  4.87914e+00  0.03339
52730.53035237653  0.00969328704  2.45945e+00  3.46110e+00  0.08149
52730.55192066357  0.00906250000  -1.12240e+00  2.37896e+00  0.14460
52730.57530608023  0.01014467593  1.01837e+00  1.81672e+00  0.23022
52732.32835006171  0.00301504630  7.44512e+00  3.89568e+00  0.14785
52732.33720422838  0.00300347222  -2.66459e+00  3.71184e+00  0.16502
52732.35326904320  0.00945023148  1.23700e+00  2.11637e+00  0.16332
52732.37637089504  0.01019097222  -2.70122e+00  1.85435e+00  0.18852
52732.42546811727  0.00214699074  2.76414e+00  5.10898e+00  0.11935
52732.43902135801  0.01075810185  1.18938e+00  2.11105e+00  0.13964
52732.47228524690  0.02111689815  -9.30017e-01  1.74212e+00  0.10740
52735.95541024690  0.01147569444  4.23580e+00  2.54378e+00  0.08869
52735.98326325616  0.01240740741  5.27722e+00  2.63880e+00  0.08060
52736.00938015430  0.01160300926  5.68999e+00  2.99236e+00  0.07739
52736.03631302468  0.01160300926  4.51266e+00  3.49797e+00  0.06182
52736.06411973764  0.01250000000  7.03572e-01  3.80698e+00  0.04820
52736.09082691356  0.01240162037  3.11826e+00  2.54038e+00  0.08911
52736.11694959875  0.01159143519  3.61313e+00  2.18214e+00  0.11911
52736.14462320986  0.01234375000  -6.94129e-01  1.97186e+00  0.13834
52736.17053756171  0.01146412037  2.65632e+00  1.98960e+00  0.14595
52736.19759774690  0.01159143519  2.35228e+00  1.88877e+00  0.15304
52736.22447274690  0.01155671296  -5.10907e-01  1.58431e+00  0.21612
52736.25144033949  0.01160300926  2.79736e+00  1.69279e+00  0.20209
52736.27836163578  0.01160300926  2.03242e+00  1.68003e+00  0.20205
52736.30528871912  0.01160879630  -1.23839e+00  1.84842e+00  0.16792
52736.33215793208  0.01154513889  4.99361e+00  2.14064e+00  0.12514
52736.35918339505  0.01159143519  7.83363e+00  2.20835e+00  0.11717
52736.38686858023  0.01234375000  2.24149e+00  1.98479e+00  0.13852
52736.41865677467  0.01733796296  3.79016e+00  1.63050e+00  0.14328
52736.45066487653  0.01258680556  6.90355e+00  2.76556e+00  0.07709
52736.47659080246  0.01160300926  -2.80475e-01  3.10608e+00  0.07908
52736.50352367282  0.01160300926  -3.96999e-01  3.79767e+00  0.05979
52737.43560700615  0.01239004630  -1.94760e-02  1.79366e+00  0.16262
52737.46364520060  0.01255787037  2.78777e+00  1.12143e+00  0.37057
52737.49134774690  0.01237847222  4.38892e+00  1.11656e+00  0.36627
52737.51927020060  0.01240740741  7.00097e+00  1.65343e+00  0.21063
52737.54720422838  0.01241319444  7.83610e+00  4.59643e+00  0.03147
52737.67461163579  0.00263310185  7.55912e+00  3.60101e+00  0.20055
52737.69096001542  0.01042824074  -1.57671e+00  1.80708e+00  0.19622
52737.71325746912  0.01019097222  5.14374e-01  1.52155e+00  0.27358
52737.73468108023  0.00928819444  2.81008e+00  1.37106e+00  0.32978
52737.75792182097  0.01020254630  2.76198e+00  1.24947e+00  0.34248
52737.78002251541  0.01010416667  1.17166e+00  1.17130e+00  0.37805
52737.80145191356  0.00924189815  8.98006e-01  1.25758e+00  0.37100
52737.82375515431  0.00925347222  1.36854e+00  1.32177e+00  0.31562
52737.84608154320  0.00928819444  3.30795e+00  1.63643e+00  0.21485
52737.86886510801  0.01020833333  -4.13835e-01  1.40855e+00  0.25556
52737.89086163579  0.01000578704  3.88924e+00  1.27298e+00  0.35193
52737.91333848764  0.01028356481  3.75339e+00  1.17354e+00  0.37362
52737.93553177467  0.01016203704  2.35373e+00  1.16859e+00  0.36400
52737.95671811727  0.00917245370  1.73650e+00  1.28537e+00  0.35063
52737.97918339504  0.00928819444  -5.20568e-01  1.44482e+00  0.30147
52738.00240098764  0.01016782407  -2.72694e+00  1.68734e+00  0.23287
52738.02477367283  0.01020254630  6.39285e+00  1.94599e+00  0.17079
52738.04574589505  0.00928819444  -3.98971e-01  2.12946e+00  0.15895
52738.06892297838  0.01012731481  2.27558e+00  1.65951e+00  0.22550
52738.09122043208  0.01008680556  3.54120e+00  1.39998e+00  0.29692
52738.11340214505  0.01009259259  5.49997e-01  1.24114e+00  0.35188
52738.13566487653  0.01016782407  4.31453e-02  1.17684e+00  0.37399
52738.15780608023  0.01010995370  1.47475e+00  1.26616e+00  0.35049
52738.18014983023  0.01026620370  2.43565e+00  1.27313e+00  0.29854
52738.20216950616  0.01008680556  -1.32801e+00  1.41981e+00  0.24262
52738.22444381171  0.01019675926  1.00834e+00  1.59889e+00  0.19052
52738.24645770060  0.01001157407  1.12202e+00  1.45244e+00  0.24088
52738.26799126541  0.00934606481  1.95630e+00  1.36899e+00  0.29040
52738.29103524690  0.01008680556  1.42178e+00  1.30167e+00  0.34187
52743.30395191356  0.01160300926  6.92979e+00  2.53368e+00  0.09035
52743.32762089505  0.00833912037  -4.27357e+00  3.28153e+00  0.08321
52743.35780608023  0.01160300926  2.66619e-01  2.92001e+00  0.07660
52743.38472737653  0.01160300926  -1.43853e+00  3.26159e+00  0.06057
52743.41238941356  0.01234375000  4.12170e-02  3.79536e+00  0.04468
52743.43920075615  0.01234953704  2.57553e+00  2.45258e+00  0.09268
52743.46537552468  0.01160300926  4.04878e+00  2.13840e+00  0.11785
52743.49322274690  0.01252893519  2.88181e+00  1.94108e+00  0.13842
52743.51896348764  0.01147569444  7.33084e-01  1.93848e+00  0.14433
52743.54675283949  0.01234375000  2.30617e+00  1.76682e+00  0.15518
52743.57292182097  0.01170717593  1.68465e+00  1.52364e+00  0.21347
52743.59975052468  0.01160300926  -7.95146e-01  1.58557e+00  0.19983
52743.62662552467  0.01155671296  8.12444e-01  1.55400e+00  0.20493
52743.65356996912  0.01157986111  -1.16642e+00  1.79972e+00  0.15923
52743.68050862653  0.01159722222  -2.95035e+00  2.09635e+00  0.12649
52743.70751672838  0.01160300926  1.23105e+00  2.15999e+00  0.11635
52743.73533501542  0.01250000000  1.41707e+00  1.94556e+00  0.13902
52743.76196695986  0.01232638889  -3.11828e-01  1.87238e+00  0.14272
52743.78806070986  0.01161458333  5.92978e+00  2.76919e+00  0.08300
52743.81497043208  0.01160300926  1.45663e+00  2.90020e+00  0.07633
52743.84189172838  0.01160300926  -1.37062e+00  3.21298e+00  0.06049
52744.00445538579  0.01263888889  2.65601e+00  3.09625e+00  0.05963
52744.03032922838  0.01160300926  4.90469e-01  2.89487e+00  0.07504
52744.05800283949  0.01234375000  8.25540e+00  2.70653e+00  0.08124
52744.08491256171  0.01245949074  -4.07742e-01  1.83043e+00  0.14687
52744.11163131172  0.01234953704  -2.70920e+00  1.95066e+00  0.13931
52744.13869728393  0.01249421296  5.85740e+00  2.08712e+00  0.11691
52744.16558964505  0.01247685185  -4.64729e+00  1.95267e+00  0.13991
